x,2x,x^2,5,y
1,2,1,5,8
2,4,4,5,13
3,6,9,5,20
4,8,16,5,29
5,10,25,5,40
6,12,36,5,53
7,14,49,5,68
8,16,64,5,85
9,18,81,5,104
10,20,100,5,125
11,22,121,5,148
12,24,144,5,173
13,26,169,5,200
14,28,196,5,229
15,30,225,5,260
16,32,256,5,293
17,34,289,5,328
18,36,324,5,365
19,38,361,5,404
20,40,400,5,445
21,42,441,5,488
22,44,484,5,533
23,46,529,5,580
24,48,576,5,629
25,50,625,5,680
26,52,676,5,733
27,54,729,5,788
28,56,784,5,845
29,58,841,5,904
30,60,900,5,965
31,62,961,5,1028
32,64,1024,5,1093
33,66,1089,5,1160
34,68,1156,5,1229
35,70,1225,5,1300
36,72,1296,5,1373
37,74,1369,5,1448
38,76,1444,5,1525
39,78,1521,5,1604
40,80,1600,5,1685
41,82,1681,5,1768
42,84,1764,5,1853
43,86,1849,5,1940
44,88,1936,5,2029
45,90,2025,5,2120
46,92,2116,5,2213
47,94,2209,5,2308
48,96,2304,5,2405
49,98,2401,5,2504
50,100,2500,5,2605
51,102,2601,5,2708
52,104,2704,5,2813
53,106,2809,5,2920
54,108,2916,5,3029
55,110,3025,5,3140
56,112,3136,5,3253
57,114,3249,5,3368
58,116,3364,5,3485
59,118,3481,5,3604
60,120,3600,5,3725
61,122,3721,5,3848
62,124,3844,5,3973
63,126,3969,5,4100
64,128,4096,5,4229
65,130,4225,5,4360
66,132,4356,5,4493
67,134,4489,5,4628
68,136,4624,5,4765
69,138,4761,5,4904
70,140,4900,5,5045
71,142,5041,5,5188
72,144,5184,5,5333
73,146,5329,5,5480
74,148,5476,5,5629
75,150,5625,5,5780
76,152,5776,5,5933
77,154,5929,5,6088
78,156,6084,5,6245
79,158,6241,5,6404
80,160,6400,5,6565
81,162,6561,5,6728
82,164,6724,5,6893
83,166,6889,5,7060
84,168,7056,5,7229
85,170,7225,5,7400
86,172,7396,5,7573
87,174,7569,5,7748
88,176,7744,5,7925
89,178,7921,5,8104
90,180,8100,5,8285
91,182,8281,5,8468
92,184,8464,5,8653
93,186,8649,5,8840
94,188,8836,5,9029
95,190,9025,5,9220
96,192,9216,5,9413
97,194,9409,5,9608
98,196,9604,5,9805
99,198,9801,5,10004
100,200,10000,5,10205
101,202,10201,5,10408
102,204,10404,5,10613
103,206,10609,5,10820
104,208,10816,5,11029
105,210,11025,5,11240
106,212,11236,5,11453
107,214,11449,5,11668
108,216,11664,5,11885
109,218,11881,5,12104
110,220,12100,5,12325
111,222,12321,5,12548
112,224,12544,5,12773
113,226,12769,5,13000
114,228,12996,5,13229
115,230,13225,5,13460
116,232,13456,5,13693
117,234,13689,5,13928
118,236,13924,5,14165
119,238,14161,5,14404
120,240,14400,5,14645
121,242,14641,5,14888
122,244,14884,5,15133
123,246,15129,5,15380
124,248,15376,5,15629
125,250,15625,5,15880
126,252,15876,5,16133
127,254,16129,5,16388
128,256,16384,5,16645
129,258,16641,5,16904
130,260,16900,5,17165
131,262,17161,5,17428
132,264,17424,5,17693
133,266,17689,5,17960
134,268,17956,5,18229
135,270,18225,5,18500
136,272,18496,5,18773
137,274,18769,5,19048
138,276,19044,5,19325
139,278,19321,5,19604
140,280,19600,5,19885
141,282,19881,5,20168
142,284,20164,5,20453
143,286,20449,5,20740
144,288,20736,5,21029
145,290,21025,5,21320
146,292,21316,5,21613
147,294,21609,5,21908
148,296,21904,5,22205
149,298,22201,5,22504
150,300,22500,5,22805
151,302,22801,5,23108
152,304,23104,5,23413
153,306,23409,5,23720
154,308,23716,5,24029
155,310,24025,5,24340
156,312,24336,5,24653
157,314,24649,5,24968
158,316,24964,5,25285
159,318,25281,5,25604
160,320,25600,5,25925
161,322,25921,5,26248
162,324,26244,5,26573
163,326,26569,5,26900
164,328,26896,5,27229
165,330,27225,5,27560
166,332,27556,5,27893
167,334,27889,5,28228
168,336,28224,5,28565
169,338,28561,5,28904
170,340,28900,5,29245
171,342,29241,5,29588
172,344,29584,5,29933
173,346,29929,5,30280
174,348,30276,5,30629
175,350,30625,5,30980
176,352,30976,5,31333
177,354,31329,5,31688
178,356,31684,5,32045
179,358,32041,5,32404
180,360,32400,5,32765
181,362,32761,5,33128
182,364,33124,5,33493
183,366,33489,5,33860
184,368,33856,5,34229
185,370,34225,5,34600
186,372,34596,5,34973
187,374,34969,5,35348
188,376,35344,5,35725
189,378,35721,5,36104
190,380,36100,5,36485
191,382,36481,5,36868
192,384,36864,5,37253
193,386,37249,5,37640
194,388,37636,5,38029
195,390,38025,5,38420
196,392,38416,5,38813
197,394,38809,5,39208
198,396,39204,5,39605
199,398,39601,5,40004
200,400,40000,5,40405
201,402,40401,5,40808
202,404,40804,5,41213
203,406,41209,5,41620
204,408,41616,5,42029
205,410,42025,5,42440
206,412,42436,5,42853
207,414,42849,5,43268
208,416,43264,5,43685
209,418,43681,5,44104
210,420,44100,5,44525
211,422,44521,5,44948
212,424,44944,5,45373
213,426,45369,5,45800
214,428,45796,5,46229
215,430,46225,5,46660
216,432,46656,5,47093
217,434,47089,5,47528
218,436,47524,5,47965
219,438,47961,5,48404
220,440,48400,5,48845
221,442,48841,5,49288
222,444,49284,5,49733
223,446,49729,5,50180
224,448,50176,5,50629
225,450,50625,5,51080
226,452,51076,5,51533
227,454,51529,5,51988
228,456,51984,5,52445
229,458,52441,5,52904
230,460,52900,5,53365
231,462,53361,5,53828
232,464,53824,5,54293
233,466,54289,5,54760
234,468,54756,5,55229
235,470,55225,5,55700
236,472,55696,5,56173
237,474,56169,5,56648
238,476,56644,5,57125
239,478,57121,5,57604
240,480,57600,5,58085
241,482,58081,5,58568
242,484,58564,5,59053
243,486,59049,5,59540
244,488,59536,5,60029
245,490,60025,5,60520
246,492,60516,5,61013
247,494,61009,5,61508
248,496,61504,5,62005
249,498,62001,5,62504
250,500,62500,5,63005
251,502,63001,5,63508
252,504,63504,5,64013
253,506,64009,5,64520
254,508,64516,5,65029
255,510,65025,5,65540
256,512,65536,5,66053
257,514,66049,5,66568
258,516,66564,5,67085
259,518,67081,5,67604
260,520,67600,5,68125
261,522,68121,5,68648
262,524,68644,5,69173
263,526,69169,5,69700
264,528,69696,5,70229
265,530,70225,5,70760
266,532,70756,5,71293
267,534,71289,5,71828
268,536,71824,5,72365
269,538,72361,5,72904
270,540,72900,5,73445
271,542,73441,5,73988
272,544,73984,5,74533
273,546,74529,5,75080
274,548,75076,5,75629
275,550,75625,5,76180
276,552,76176,5,76733
277,554,76729,5,77288
278,556,77284,5,77845
279,558,77841,5,78404
280,560,78400,5,78965
281,562,78961,5,79528
282,564,79524,5,80093
283,566,80089,5,80660
284,568,80656,5,81229
285,570,81225,5,81800
286,572,81796,5,82373
287,574,82369,5,82948
288,576,82944,5,83525
289,578,83521,5,84104
290,580,84100,5,84685
291,582,84681,5,85268
292,584,85264,5,85853
293,586,85849,5,86440
294,588,86436,5,87029
295,590,87025,5,87620
296,592,87616,5,88213
297,594,88209,5,88808
298,596,88804,5,89405
299,598,89401,5,90004
300,600,90000,5,90605
301,602,90601,5,91208
302,604,91204,5,91813
303,606,91809,5,92420
304,608,92416,5,93029
305,610,93025,5,93640
306,612,93636,5,94253
307,614,94249,5,94868
308,616,94864,5,95485
309,618,95481,5,96104
310,620,96100,5,96725
311,622,96721,5,97348
312,624,97344,5,97973
313,626,97969,5,98600
314,628,98596,5,99229
315,630,99225,5,99860
316,632,99856,5,100493
317,634,100489,5,101128
318,636,101124,5,101765
319,638,101761,5,102404
320,640,102400,5,103045
321,642,103041,5,103688
322,644,103684,5,104333
323,646,104329,5,104980
324,648,104976,5,105629
325,650,105625,5,106280
326,652,106276,5,106933
327,654,106929,5,107588
328,656,107584,5,108245
329,658,108241,5,108904
330,660,108900,5,109565
331,662,109561,5,110228
332,664,110224,5,110893
333,666,110889,5,111560
334,668,111556,5,112229
335,670,112225,5,112900
336,672,112896,5,113573
337,674,113569,5,114248
338,676,114244,5,114925
339,678,114921,5,115604
340,680,115600,5,116285
341,682,116281,5,116968
342,684,116964,5,117653
343,686,117649,5,118340
344,688,118336,5,119029
345,690,119025,5,119720
346,692,119716,5,120413
347,694,120409,5,121108
348,696,121104,5,121805
349,698,121801,5,122504
350,700,122500,5,123205
351,702,123201,5,123908
352,704,123904,5,124613
353,706,124609,5,125320
354,708,125316,5,126029
355,710,126025,5,126740
356,712,126736,5,127453
357,714,127449,5,128168
358,716,128164,5,128885
359,718,128881,5,129604
360,720,129600,5,130325
361,722,130321,5,131048
362,724,131044,5,131773
363,726,131769,5,132500
364,728,132496,5,133229
365,730,133225,5,133960
366,732,133956,5,134693
367,734,134689,5,135428
368,736,135424,5,136165
369,738,136161,5,136904
370,740,136900,5,137645
371,742,137641,5,138388
372,744,138384,5,139133
373,746,139129,5,139880
374,748,139876,5,140629
375,750,140625,5,141380
376,752,141376,5,142133
377,754,142129,5,142888
378,756,142884,5,143645
379,758,143641,5,144404
380,760,144400,5,145165
381,762,145161,5,145928
382,764,145924,5,146693
383,766,146689,5,147460
384,768,147456,5,148229
385,770,148225,5,149000
386,772,148996,5,149773
387,774,149769,5,150548
388,776,150544,5,151325
389,778,151321,5,152104
390,780,152100,5,152885
391,782,152881,5,153668
392,784,153664,5,154453
393,786,154449,5,155240
394,788,155236,5,156029
395,790,156025,5,156820
396,792,156816,5,157613
397,794,157609,5,158408
398,796,158404,5,159205
399,798,159201,5,160004
400,800,160000,5,160805
401,802,160801,5,161608
402,804,161604,5,162413
403,806,162409,5,163220
404,808,163216,5,164029
405,810,164025,5,164840
406,812,164836,5,165653
407,814,165649,5,166468
408,816,166464,5,167285
409,818,167281,5,168104
410,820,168100,5,168925
411,822,168921,5,169748
412,824,169744,5,170573
413,826,170569,5,171400
414,828,171396,5,172229
415,830,172225,5,173060
416,832,173056,5,173893
417,834,173889,5,174728
418,836,174724,5,175565
419,838,175561,5,176404
420,840,176400,5,177245
421,842,177241,5,178088
422,844,178084,5,178933
423,846,178929,5,179780
424,848,179776,5,180629
425,850,180625,5,181480
426,852,181476,5,182333
427,854,182329,5,183188
428,856,183184,5,184045
429,858,184041,5,184904
430,860,184900,5,185765
431,862,185761,5,186628
432,864,186624,5,187493
433,866,187489,5,188360
434,868,188356,5,189229
435,870,189225,5,190100
436,872,190096,5,190973
437,874,190969,5,191848
438,876,191844,5,192725
439,878,192721,5,193604
440,880,193600,5,194485
441,882,194481,5,195368
442,884,195364,5,196253
443,886,196249,5,197140
444,888,197136,5,198029
445,890,198025,5,198920
446,892,198916,5,199813
447,894,199809,5,200708
448,896,200704,5,201605
449,898,201601,5,202504
450,900,202500,5,203405
451,902,203401,5,204308
452,904,204304,5,205213
453,906,205209,5,206120
454,908,206116,5,207029
455,910,207025,5,207940
456,912,207936,5,208853
457,914,208849,5,209768
458,916,209764,5,210685
459,918,210681,5,211604
460,920,211600,5,212525
461,922,212521,5,213448
462,924,213444,5,214373
463,926,214369,5,215300
464,928,215296,5,216229
465,930,216225,5,217160
466,932,217156,5,218093
467,934,218089,5,219028
468,936,219024,5,219965
469,938,219961,5,220904
470,940,220900,5,221845
471,942,221841,5,222788
472,944,222784,5,223733
473,946,223729,5,224680
474,948,224676,5,225629
475,950,225625,5,226580
476,952,226576,5,227533
477,954,227529,5,228488
478,956,228484,5,229445
479,958,229441,5,230404
480,960,230400,5,231365
481,962,231361,5,232328
482,964,232324,5,233293
483,966,233289,5,234260
484,968,234256,5,235229
485,970,235225,5,236200
486,972,236196,5,237173
487,974,237169,5,238148
488,976,238144,5,239125
489,978,239121,5,240104
490,980,240100,5,241085
491,982,241081,5,242068
492,984,242064,5,243053
493,986,243049,5,244040
494,988,244036,5,245029
495,990,245025,5,246020
496,992,246016,5,247013
497,994,247009,5,248008
498,996,248004,5,249005
499,998,249001,5,250004
500,1000,250000,5,251005
