chat_id,cart_id,chat_member,chat_message,chat_session_id,ip_address,order_id,state_of_order,user_id
2,,1,hi,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
3,,0,"Good to see you again",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
4,,1,"what items ?",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
5,,0,"I'm Bruno",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
6,,1,"work time ?",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
7,,0,"Are you looking to rent today or later this week?",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
8,,1,"work hours ?",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
9,,0,"We're open every day 9am-9pm",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
10,,1,"open day",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
11,,0,"Our hours are 9am-9pm every day",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
12,,1,"mobile price",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
13,,0,"Hi there, how can I help?",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
14,,1,"warranty ?",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
15,,0,"Hello, thanks for visiting",6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,6SV4ZUO7EZ5O285FB1Z804XBBH5ECTXECAHOJ4WAF0O38PXPR0NIP42DVP0J45WAEGFU7ALNZK8291V2,,2,1
16,,1,"laptop price ?",8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,,2,2
17,,0,"Can't Understand Your Question",8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,,2,2
18,,1,laptop,8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,,2,2
19,,0,"Can't Understand Your Question",8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,8AFQUO3YHA1M1NMNAJ5FSX52N6EM3HC9WDMUUSV55NXRHVABSFMO02CTV5ZYH8ZYS1YWF3H030JEA96K,,2,2
20,,1,"is best lap top lenovo ",3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,,2,2
21,,0,yes,3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,,2,2
22,,1,"what is the proofs",3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,,2,2
23,,0,"10 Million Ton",3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,,2,2
24,,1,"ah okay",3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,,2,2
25,,0,"Hello, thanks for visiting",3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,3AH616EAUW8Y2D2VGJK5W975XLIEGXE4ASGU31QLQF4E3CCW4535CM4VL4YWN5FGIL23W6U517G1UUPA,,2,2
